,aclu_id,name,official_name,party,district,state,legislator_type,zeroed_district,congressional_district
520,aclu/elections-api/congress_legislator:1013,Adam Smith,Adam Smith,Democrat,9,WA,rep,9,5309
521,aclu/elections-api/congress_legislator:1018,Derek Kilmer,Derek Kilmer,Democrat,6,WA,rep,6,5306
522,aclu/elections-api/congress_legislator:11590,,John W. Rose,Republican,6,TN,rep,6,4706
523,aclu/elections-api/congress_legislator:945,,David Kustoff,Republican,8,TN,rep,8,4708
524,aclu/elections-api/congress_legislator:944,,"Charles J. ""Chuck"" Fleischmann",Republican,3,TN,rep,3,4703
525,aclu/elections-api/congress_legislator:11591,,Mark E. Green,Republican,7,TN,rep,7,4707
526,aclu/elections-api/congress_legislator:11592,,Tim Burchett,Republican,2,TN,rep,2,4702
527,aclu/elections-api/congress_legislator:953,,Steve Cohen,Democrat,9,TN,rep,9,4709
528,aclu/elections-api/congress_legislator:949,,"John J. Duncan, Jr.",Republican,2,TN,rep,2,4702
529,aclu/elections-api/congress_legislator:946,,David P. Roe,Republican,1,TN,rep,1,4701
530,aclu/elections-api/congress_legislator:947,,Diane Black,Republican,6,TN,rep,6,4706
531,aclu/elections-api/congress_legislator:952,,Scott DesJarlais,Republican,4,TN,rep,4,4704
532,aclu/elections-api/congress_legislator:948,Jim Cooper,Jim Cooper,Democrat,5,TN,rep,5,4705
